Variable,IDCODE,Congruency,Mode,STIMULI,Correctans,RToriginal,RTcorrected
Label,Participant code,Congruency,"Treble, Bass, Word",Stimuli image,Answer correct or incorrect,Reaction time original (ms),Reaction time corrected for errors and 3SDs (ms)
,4,1,3,Bbblack,1.00,1221.00,1221.00
,4,1,3,Adeepskyblue,1.00,1599.00,1599.00
,4,1,3,Ebfirebrick,1.00,1605.00,1605.00
,4,1,3,Ered,1.00,1631.00,1631.00
,4,1,3,Gsaddlebrown,1.00,1743.00,1743.00
,4,1,3,Abroyalblue,1.00,2052.00,2052.00
,5,0,1,Bbmajorforestgreen,1.00,996.00,996.00
,5,0,1,Dmajororange,1.00,1092.00,1092.00
,5,0,1,Ebmajorblue,2.00,1397.00,0.00
,5,0,1,Fmajorfirebrick,1.00,1709.00,1709.00
,5,0,1,Gmajordarkgreen,1.00,1745.00,1745.00
,5,0,1,Cmajorredgreen,2.00,1771.00,0.00
,5,0,1,Amajorburntorange,2.00,1792.00,0.00
,5,0,1,Abmajoryellowgreen,2.00,2279.00,0.00
,5,0,1,Emajorgold,2.00,2572.00,0.00
,5,1,1,Abmajorredgreen,1.00,781.00,781.00
,5,1,1,Cmajorgold,2.00,1139.00,0.00
,5,1,1,Dmajorfirebrick,1.00,1431.00,1431.00
,5,1,1,Gmajororange,1.00,1743.00,1743.00
,5,1,1,Ebmajordarkgreen,1.00,1886.00,1886.00
,5,1,1,Amajorforestgreen,2.00,2015.00,0.00
,5,1,1,Bbmajorburntorange,1.00,2180.00,2180.00
,5,1,1,Emajoryellowgreen,1.00,2550.00,2550.00
,5,1,1,Fmajorblue,2.00,2858.00,0.00
,5,0,2,BassEmajorgold,1.00,1189.00,1189.00
,5,0,2,BassGmajordarkgreen,2.00,1538.00,0.00
,5,0,2,BassFmajorfirebrick,1.00,1653.00,1653.00
,5,0,2,BassCmajorredgreen,1.00,2087.00,2087.00
,5,0,2,BassBbmajorforestgreen,1.00,2314.00,2314.00
,5,0,2,BassDmajororange,1.00,2464.00,2464.00
,5,0,2,BassAbmajoryellowgreen,2.00,3159.00,0.00
,5,0,2,BassEbmajorblue,1.00,3321.00,3321.00
,5,0,2,BassAmajorburntorange,2.00,3472.00,0.00
,5,1,2,BassDmajorfirebrick,1.00,1213.00,1213.00
,5,1,2,BassCmajorgold,2.00,1461.00,0.00
,5,1,2,BassFmajorblue,1.00,1885.00,1885.00
,5,1,2,BassAmajorforestgreen,2.00,2148.00,0.00
,5,1,2,BassBbmajorburntorange,1.00,2156.00,2156.00
,5,1,2,BassEmajoryellowgreen,1.00,3141.00,0.00
,5,1,2,BassAbmajorredgreen,1.00,3299.00,0.00
,5,1,2,BassGmajororange,1.00,3431.00,0.00
,5,1,2,BassEbmajordarkgreen,1.00,3570.00,0.00
,5,0,3,Gdarkgreen,2.00,678.00,0.00
,5,0,3,Dorange,1.00,1048.00,1048.00
,5,0,3,Ffirebrick,1.00,1070.00,1070.00
,5,0,3,Ebblue,1.00,1243.00,1243.00
,5,0,3,Egold,1.00,1307.00,1307.00
,5,0,3,Abyellowgreen,1.00,1340.00,1340.00
,5,0,3,Bbforestgreen,1.00,1852.00,1852.00
,5,0,3,Aburntorange,2.00,1979.00,0.00
,5,0,3,Credgreen,2.00,2071.00,0.00
,5,1,3,Aforestgreen,1.00,885.00,885.00
,5,1,3,Abredgreen,1.00,1007.00,1007.00
,5,1,3,Fblue,1.00,1047.00,1047.00
,5,1,3,Bbburntorange,1.00,1072.00,1072.00
,5,1,3,Dfirebrick,1.00,1186.00,1186.00
,5,1,3,Ebdarkgreen,1.00,1199.00,1199.00
,5,1,3,Gorange,1.00,1362.00,1362.00
,5,1,3,Eyellowgreen,1.00,1384.00,1384.00
,5,1,3,Cgold,1.00,1456.00,1456.00
,6,0,1,Abmajorlemonygold,1.00,1964.00,1964.00
,6,0,1,Amajoryellow,1.00,1688.00,1688.00
,6,0,1,Bbmajororange,1.00,1074.00,1074.00
,6,0,1,Cmajororangered,1.00,1270.00,1270.00
,6,0,1,Dmajordarkblue,1.00,1505.00,1505.00
,6,0,1,Ebmajorgreen,1.00,1520.00,1520.00
,6,0,1,Emajorpink,1.00,2013.00,2013.00
,6,0,1,Fmajorgoldy,1.00,1048.00,1048.00
,6,0,1,Gmajordarkgreen,1.00,1341.00,1341.00
,6,1,1,Abmajororangered,1.00,1681.00,1681.00
,6,1,1,Amajororange,1.00,2176.00,2176.00
,6,1,1,Bbmajordarkgreen,1.00,1850.00,1850.00
,6,1,1,Cmajorpink,1.00,969.00,969.00
,6,1,1,Dmajorgoldy,1.00,2265.00,2265.00
,6,1,1,Ebmajoryellow,1.00,3176.00,0.00
,6,1,1,Emajorlemonygold,1.00,1013.00,1013.00
,6,1,1,Fmajorgreen,1.00,1944.00,1944.00
,6,1,1,Gmajordarkblue,1.00,1119.00,1119.00
,6,0,2,BassCmajororangered,1.00,1025.00,1025.00
,6,0,2,BassEmajorpink,1.00,1236.00,1236.00
,6,0,2,BassAbmajorlemonygold,1.00,1340.00,1340.00
,6,0,2,BassGmajordarkgreen,1.00,1398.00,1398.00
,6,0,2,BassFmajorgoldy,1.00,1487.00,1487.00
,6,0,2,BassDmajordarkblue,1.00,1592.00,1592.00
,6,0,2,BassBbmajororange,1.00,1803.00,1803.00
,6,0,2,BassEbmajorgreen,1.00,2194.00,2194.00
,6,0,2,BassAmajoryellow,1.00,1929.00,1929.00
,6,1,2,BassCmajorpink,1.00,731.00,731.00
,6,1,2,BassGmajordarkblue,1.00,1072.00,1072.00
,6,1,2,BassFmajorgreen,1.00,1170.00,1170.00
,6,1,2,BassDmajorgoldy,1.00,1283.00,1283.00
,6,1,2,BassEmajorlemonygold,1.00,1280.00,1280.00
,6,1,2,BassBbmajordarkgreen,1.00,1754.00,1754.00
,6,1,2,BassAmajororange,1.00,1757.00,1757.00
,6,1,2,BassAbmajororangered,1.00,1865.00,1865.00
,6,1,2,BassEbmajoryellow,1.00,2456.00,2456.00
,6,0,3,Gdarkgreen,1.00,907.00,907.00
,6,0,3,Ayellow,1.00,988.00,988.00
,6,0,3,Fgoldy,1.00,1015.00,1015.00
,6,0,3,Corangered,1.00,1052.00,1052.00
,6,0,3,Ablemonygold,1.00,1073.00,1073.00
,6,0,3,Bborange,1.00,1096.00,1096.00
,6,0,3,Ebgreen,1.00,1141.00,1141.00
,6,0,3,Epink,1.00,1167.00,1167.00
,6,0,3,Ddarkblue,1.00,1302.00,1302.00
,6,1,3,Cpink,1.00,943.00,943.00
,6,1,3,Fgreen,1.00,953.00,953.00
,6,1,3,Gdarkblue,1.00,1032.00,1032.00
,6,1,3,Aorange,1.00,1048.00,1048.00
,6,1,3,Bbdarkgreen,1.00,1073.00,1073.00
,6,1,3,Elemonygold,1.00,1193.00,1193.00
,6,1,3,Aborangered,1.00,1268.00,1268.00
,6,1,3,Ebyellow,1.00,1316.00,1316.00
,6,1,3,Dgoldy,1.00,1654.00,1654.00
,7,0,1,Cmajorsienna,1.00,2430.00,2430.00
,7,0,1,Dmajororange,1.00,1570.00,1570.00
,7,0,1,Ebmajororange,1.00,3607.00,0.00
,7,0,1,Emajorred,1.00,1873.00,1873.00
,7,0,1,Fmajorsandybrown,2.00,2796.00,0.00
,7,0,1,Gmajorseagreen,2.00,3286.00,0.00
,7,1,1,Cmajororange,1.00,1886.00,1886.00
,7,1,1,Dmajorred,1.00,2207.00,2207.00
,7,1,1,Ebmajorrosybrown,1.00,1538.00,1538.00
,7,1,1,Emajorsandybrown,1.00,2424.00,2424.00
,7,1,1,Fmajorseagreen,2.00,3265.00,0.00
,7,1,1,Gmajororangered,1.00,2655.00,2655.00
,7,0,2,BassCmajorsienna,1.00,1941.00,1941.00
,7,0,2,BassDmajororange,1.00,2016.00,2016.00
,7,0,2,BassEbmajororange,1.00,3074.00,3074.00
,7,0,2,BassEmajorred,1.00,3357.00,3357.00
,7,0,2,BassFmajorsandybrown,2.00,2735.00,0.00
,7,0,2,BassGmajorseagreen,2.00,3017.00,0.00
,7,1,2,BassCmajororange,1.00,957.00,957.00
,7,1,2,BassDmajorred,1.00,1286.00,1286.00
,7,1,2,BassEbmajorrosybrown,2.00,2734.00,0.00
,7,1,2,BassEmajorsandybrown,1.00,2610.00,2610.00
,7,1,2,BassFmajorseagreen,2.00,3299.00,0.00
,7,1,2,BassGmajororangered,2.00,1538.00,0.00
,7,0,3,Csienna,1.00,1581.00,1581.00
,7,0,3,Dorange,1.00,1655.00,1655.00
,7,0,3,Eborange,1.00,2452.00,2452.00
,7,0,3,Ered,1.00,1377.00,1377.00
,7,0,3,Fsandybrown,2.00,3660.00,0.00
,7,0,3,Gseagreen,1.00,2168.00,2168.00
,7,1,3,Corange,1.00,689.00,689.00
,7,1,3,Dred,1.00,888.00,888.00
,7,1,3,Ebrosybrown,1.00,1682.00,1682.00
,7,1,3,Esandybrown,1.00,1320.00,1320.00
,7,1,3,Fseagreen,2.00,3195.00,0.00
,7,1,3,Gorangered,2.00,2208.00,0.00
,8,0,1,Abmajordodgerblue,1.00,3200.00,3200.00
,8,0,1,Dmajorrebecca,1.00,2666.00,2666.00
,8,0,1,Ebmajorlightskyblue,1.00,3267.00,3267.00
,8,0,1,Emajorgreenypurple,2.00,2819.00,0.00
,8,0,1,Fmajorred,1.00,2190.00,2190.00
,8,1,1,Abmajorrebecca,1.00,2314.00,2314.00
,8,1,1,Dmajorlightskyblue,1.00,2358.00,2358.00
,8,1,1,Ebmajorindigo,1.00,2024.00,2024.00
,8,1,1,Emajordodgerblue,1.00,3247.00,0.00
,8,1,1,Fmajorhoneydew,1.00,2131.00,2131.00
,8,0,2,BassAbmajordodgerblue,1.00,2839.00,2839.00
,8,0,2,BassDmajorrebecca,1.00,3210.00,3210.00
,8,0,2,BassEbmajorlightskyblue,1.00,2418.00,2418.00
,8,0,2,BassEmajorgreenypurple,2.00,4000.00,0.00
,8,0,2,BassFmajorred,1.00,1791.00,1791.00
,8,1,2,BassAbmajorrebecca,1.00,2189.00,2189.00
,8,1,2,BassDmajorlightskyblue,1.00,2522.00,2522.00
,8,1,2,BassEbmajorindigo,1.00,3462.00,0.00
,8,1,2,BassEmajordodgerblue,1.00,1661.00,1661.00
,8,1,2,BassFmajorhoneydew,1.00,1550.00,1550.00
,8,0,3,Abdodgerblue,1.00,2537.00,2537.00
,8,0,3,Drebecca,1.00,1631.00,1631.00
,8,0,3,Eblightskyblue,1.00,3000.00,0.00
,8,0,3,Egreenypurple,1.00,1811.00,1811.00
,8,0,3,Fred,1.00,1402.00,1402.00
,8,1,3,Abrebecca,1.00,3160.00,0.00
,8,1,3,Dlightskyblue,1.00,2162.00,2162.00
,8,1,3,Ebindigo,1.00,3078.00,0.00
,8,1,3,Edodgerblue,1.00,2640.00,2640.00
,8,1,3,Fhoneydew,1.00,1075.00,1075.00
